DEPTH,BS,CALI,DDEN,DEN,DT,GR,NPHI,PEF,RDEEP,RMED,RSHAL
4588.5,8.5,8.8167,1.2868,4.049,86.5577,84.2614,0.3974,10,0.0265,0.0187,0.0344
4589,8.5,8.8167,1.2043,3.9605,86.6255,85.537,0.378,10,0.0222,0.0128,0.0328
4589.5,8.5,8.8016,1.1773,3.9326,86.3584,78.57,0.3531,10,0.0219,0.0124,0.0319
4590,8.5,8.8054,1.1798,3.931,79.6276,78.3438,0.3751,10,0.0216,0.0125,0.0311
4590.5,8.5,8.8054,1.1837,3.9287,79.4095,82.6104,0.3731,10,0.0208,0.0128,0.0308
4591,8.5,8.8167,1.19,3.9241,79.2783,85.4802,0.4095,10,0.0195,0.0122,0.0304
4591.5,8.5,8.8242,1.1987,3.9186,78.8309,83.0546,0.3965,10,0.0186,0.012,0.0315
4592,8.5,8.8843,1.2017,3.9122,86.1765,80.8652,0.4045,10,0.0183,0.0125,0.0317
4592.5,8.5,8.8993,1.1899,3.8972,86.0674,81.3328,0.3628,10,0.0176,0.0121,0.0329
4593,8.5,8.9069,1.1716,3.8746,77.8288,81.9965,0.3619,10,0.0174,0.0118,0.0322
4593.5,8.5,8.9069,1.1586,3.8473,76.2957,73.0387,0.3558,10,0.017,0.0113,0.0318
4594,8.5,8.9181,1.1463,3.8174,83.1951,60.0219,0.3565,10,0.0166,0.0114,0.0317
4594.5,8.5,8.9069,1.1314,3.7941,78.6926,45.4816,0.2909,10,0.0164,0.0123,0.0333
4595,8.5,8.9069,1.122,3.7792,61.351,34.9362,0.2244,10,0.0159,0.0121,0.0332
4595.5,8.5,8.9069,1.1313,3.7899,62.6233,29.8297,0.1861,10,0.0167,0.0144,0.0319
4596,8.5,8.8956,1.177,3.8916,65.7121,27.6227,0.1875,10,0.0135,0.0128,0.0302
4596.5,8.5,8.9069,1.3027,4.1601,81.7955,29.3401,0.207,9.9981,0.0147,0.0135,0.0323
4597,8.5,8.9069,1.4487,4.4297,85.7931,27.9382,0.2418,9.9894,0.0122,0.0119,0.0393
4597.5,8.5,8.9444,1.4245,4.3573,90.3173,27.6785,0.2115,9.7371,0.0139,0.013,0.0397
4598,8.5,9.1775,1.08,3.7672,80.6708,24.8764,0.2027,8.8088,100000,100000,0.0372
4598.5,8.5,9.2902,0.6602,3.2262,77.4845,27.3169,0.1902,7.1774,0.1115,0.1268,0.0389
4599,8.5,9.5383,0.3848,2.7906,80.4078,31.2461,0.1931,5.3869,0.1961,0.2066,0.0696
4599.5,8.5,9.6962,0.3054,2.7496,64.3425,44.9534,0.1813,4.0862,1.4211,1.8732,0.2504
4600,8.5,9.854,0.2376,2.6451,64.9217,57.8059,0.1727,3.4288,8.9362,11.9212,2.1901
4600.5,8.5,9.7413,0.1322,2.6601,69.0075,66.7248,0.1624,3.1732,33.3499,45.5116,7.0827
4601,8.5,9.7976,0.0589,2.6379,69.596,71.788,0.1579,3.1438,54.2398,80.5891,55.28
4601.5,8.5,9.7751,0.0201,2.6076,71.6236,77.224,0.1797,3.1783,43.3331,58.4557,33.4518
4602,8.5,9.854,0.0123,2.5937,73.5936,85.9182,0.2097,3.1505,37.2375,48.0052,20.3091
4602.5,8.5,9.9104,0.013,2.5748,72.2404,88.1087,0.2203,3.0528,41.3254,57.747,19.3303
4603,8.5,9.9668,0.0119,2.5756,69.4886,83.5815,0.2001,2.9873,43.9162,59.0825,21.9374
4603.5,8.5,10.8124,0.0067,2.6023,68.7645,74.7667,0.1753,3.0545,53.2524,82.1164,24.2351
4604,8.5,10.7561,0.0004,2.6341,68.7849,69.5903,0.1632,3.2165,73.0494,123.3377,30.3033
4604.5,8.5,9.9217,-0.0028,2.6516,69.9517,77.3731,0.185,3.3304,50.817,84.6977,39.2737
4605,8.5,9.9517,0.0021,2.6544,72.8658,93.5963,0.2156,3.2803,36.6595,59.6861,38.8629
4605.5,8.5,9.9893,0.0063,2.6393,73.0674,110.3539,0.228,3.0498,38.6536,57.5996,35.8305
4606,8.5,10.0194,0.0059,2.6198,73.2848,120.3569,0.2196,2.7782,43.6747,59.671,38.0648
4606.5,8.5,10.0457,0.0033,2.5954,72.9187,121.006,0.2268,2.5754,40.4423,54.445,40.5195
4607,8.5,10.057,0.001,2.5634,71.9062,106.4224,0.2128,2.4585,48.9172,65.7772,40.1001
4607.5,8.5,10.057,0.0014,2.5355,70.4024,82.6646,0.1677,2.3534,70.2761,86.6153,39.5665
4608,8.5,9.8991,0.0019,2.5037,69.7714,62.7791,0.1311,2.243,63.8701,75.1549,32.0925
4608.5,8.5,9.854,0.0008,2.4865,69.9029,49.9597,0.1042,2.1609,148.7396,153.0399,27.9624
4609,8.5,9.8315,-0.0015,2.4807,70.342,41.9106,0.0833,2.1166,170.9741,174.734,22.068
4609.5,8.5,9.839,-0.0026,2.4939,70.4371,32.6301,0.0772,2.0913,158.7377,170.4337,22.108
4610,8.5,9.7187,-0.0018,2.5092,69.5726,31.8511,0.0774,2.0686,220.316,217.1667,22.1322
4610.5,8.5,9.7563,-0.0012,2.5166,67.9921,37.4336,0.0792,2.0501,346.8423,298.4315,30.6423
4611,8.5,9.7638,0.0006,2.5296,68.0254,44.4241,0.0779,2.0499,402.5077,286.6248,41.9572
4611.5,8.5,9.7788,0.0045,2.5361,67.545,43.6451,0.0754,2.0738,258.4319,190.8054,48.7443
4612,8.5,9.7751,0.0165,2.5475,68.0232,37.4136,0.0705,2.1246,247.6845,151.0192,54.4351
4612.5,8.5,9.8315,0.0263,2.5284,71.5586,35.1236,0.0714,2.152,107.6342,66.3157,33.5539
4613,8.5,10.0457,0.0281,2.4995,74.7791,46.0057,0.0885,2.1219,38.3609,28.5713,15.3364
4613.5,8.5,10.4103,0.0178,2.4552,77.462,57.56,0.1188,2.0495,29.5026,24.8594,9.5803
4614,8.5,10.5644,0.0052,2.4129,80.3907,62.2922,0.1418,2.0056,27.3572,24.2016,8.3335
4614.5,8.5,10.6659,-0.0008,2.3945,81.3309,57.9533,0.1449,1.9893,22.9574,22.2,7.672
4615,8.5,10.6959,-0.0018,2.395,81.4596,54.0844,0.1536,1.98,22.7263,22.8231,6.5369
4615.5,8.5,10.7561,-0.0007,2.4137,81.0601,57.4394,0.1511,1.9668,23.2967,23.605,5.7205
4616,8.5,10.8087,-0.0007,2.4367,80.1146,65.6811,0.1545,1.9864,26.0518,24.6274,6.1297
4616.5,8.5,10.8613,-0.0021,2.4604,78.1401,74.9186,0.1557,2.0373,35.3989,30.4667,8.0663
4617,8.5,10.8914,-0.0043,2.4766,76.2941,83.3599,0.1542,2.1114,30.1552,26.2624,9.5723
4617.5,8.5,10.9139,-0.0063,2.4877,75.2947,91.2942,0.1435,2.1704,29.932,25.1998,11.6796
4618,8.5,10.9365,-0.0085,2.4828,75.8205,102.8505,0.1407,2.2117,46.9444,38.2501,13.3202
4618.5,8.5,10.959,-0.0096,2.4736,75.3153,101.3103,0.1526,2.2015,40.9941,33.4406,15.5995
4619,8.5,10.9665,-0.0097,2.4595,75.7156,96.1174,0.1556,2.1566,45.7793,36.1078,13.3661
4619.5,8.5,11.0154,-0.0092,2.4454,76.5517,89.5784,0.1452,2.1063,50.3497,40.1692,12.5805
4620,8.5,11.0605,-0.0071,2.4411,76.2675,85.0345,0.1285,2.0632,49.4377,36.6305,12.3732
4620.5,8.5,11.0831,-0.0048,2.4398,75.9907,79.1925,0.1264,2.0192,48.6274,35.5694,11.9102
4621,8.5,11.0943,-0.0022,2.4485,74.8815,68.6168,0.1265,1.9639,50.9575,36.3043,11.6555
4621.5,8.5,11.1394,-0.0003,2.4542,73.9926,72.068,0.1287,1.9306,56.7706,39.3276,11.6569
4622,8.5,11.1394,0.0015,2.4504,71.6042,71.2659,0.1221,1.9454,67.6589,41.4464,13.3898
4622.5,8.5,11.162,0.0058,2.4474,73.2333,74.7013,0.1126,2.0064,83.6482,47.793,14.8073
4623,8.5,11.1845,0.0101,2.4443,73.2947,69.6922,0.1116,2.0639,94.3784,50.1431,10.3784
4623.5,8.5,11.2296,0.0118,2.449,73.1211,69.975,0.1147,2.0963,91.9127,44.7194,9.6875
4624,8.5,11.2522,0.009,2.4499,75.0097,72.3118,0.1226,2.094,87.6213,40.8118,9.1675
