t,x,y
190,356569.991,4241774.865
610,416861.894,4253453.589
40,428809.985,4370240.828
190,409141.59,4225424.652
60,463367.539,4309277.889
50,340577.932,4314650.102
1200,438368.457,4241541.291
280,415023.727,4360197.125
290,440390.442,4251584.994
80,335614.879,4335905.38
200,405832.888,4247614.227
2330,374584.036,4257657.93
310,384510.142,4391963.254
230,437265.557,4355992.785
610,410428.307,4211643.758
260,430096.702,4334270.358
210,350136.404,4393831.85
150,321277.17,4310212.187
80,437449.374,4342679.04
600,344989.534,4266767.335
390,411715.025,4289424.059
610,412450.292,4209308.013
1610,335982.512,4266066.611
150,365393.197,4381919.552
210,380466.173,4266533.76
40,336717.779,4234534.057
270,467043.875,4246212.781
370,367966.632,4385423.169
320,417964.795,4329131.72
150,367231.365,4230563.291
980,417045.711,4334737.507
300,391862.813,4253687.164
1010,386164.493,4377248.062
300,428626.168,4227526.822
600,402891.819,4225891.801
1850,431199.603,4219585.29
140,383774.875,4390795.382
110,345357.168,4283818.271
140,342783.733,4296898.442
210,339658.848,4335438.231
350,367415.181,4345949.082
300,333409.077,4217716.694
2730,436530.29,4228227.546
20,358040.526,4327263.124
80,343519,4230329.716
100,404546.17,4395934.02
60,462080.822,4311380.06
150,331754.726,4300869.208
220,452154.716,4302737.804
1490,365944.647,4247614.227
320,333960.528,4275409.59
160,383223.424,4295029.846
70,383223.424,4223322.482
20,381385.256,4242242.014
210,445721.129,4299000.612
60,363738.846,4324226.656
360,378628.005,4253453.589
1420,365025.563,4244577.759
2090,382304.34,4229395.418
60,428074.718,4281716.101
50,361716.861,4361598.572
20,338188.314,4334503.933
1500,414839.91,4218183.843
190,416310.444,4296664.868
40,364474.113,4305307.123
1940,362084.495,4266066.611
160,394068.614,4239672.695
50,434508.305,4350620.572
90,364106.479,4321657.337
10,419251.513,4384722.445
160,348482.053,4280548.229
90,332489.994,4236636.227
190,418332.429,4354124.189
490,361349.228,4218183.843
80,392230.446,4338708.273
280,393884.797,4269336.654
780,413185.559,4338708.273
80,337636.863,4350854.146
70,389473.195,4293394.825
90,331387.093,4389393.935
90,459875.02,4306474.996
620,398847.85,4284518.995
140,458955.937,4211410.183
620,399950.751,4283584.697
30,342232.283,4246212.781
650,454911.967,4278212.484
880,322931.521,4231030.44
410,375135.486,4382853.85
430,452522.349,4244811.334
580,446640.212,4290825.506
3030,360981.594,4270738.101
510,427339.451,4220286.014
240,448478.38,4304606.4
1540,398112.583,4223322.482
110,340210.298,4341744.742
40,431015.786,4268635.93
560,408038.689,4215848.099
310,376606.02,4331000.316
110,409693.04,4278446.058
560,396274.415,4226125.376
2740,353445.106,4267701.632
30,355650.908,4384255.296
90,441677.159,4324693.805
10,414656.093,4224723.929
240,395722.965,4285920.442
80,322196.254,4368372.232
890,335614.879,4263030.143
210,359694.877,4235234.78
1460,438368.457,4233132.61
90,374767.852,4321890.911
340,367415.181,4223088.907
180,393517.164,4313248.655
300,432853.954,4252986.44
210,399031.667,4288723.335
200,419802.963,4298767.038
190,345908.618,4306942.145
180,410428.307,4301803.506
490,366863.731,4221220.312
120,422927.848,4378883.083
160,342599.916,4339408.997
1590,432486.321,4232899.035
200,342416.1,4279847.505
80,462448.455,4321657.337
840,364841.746,4214680.226
190,358591.976,4231497.589
70,376789.837,4304139.251
180,444985.861,4317452.996
190,408590.139,4284986.144
1140,450316.548,4249482.823
140,340761.749,4396868.318
450,411163.574,4245278.483
30,371275.334,4277978.909
170,376606.02,4387992.488
200,460426.471,4300869.208
330,405465.254,4289190.484
2260,437817.007,4228694.695
3150,342967.55,4253220.015
130,415391.36,4291059.08
0,384142.508,4339408.997
300,349033.504,4226125.376
900,436714.106,4221687.46
2290,367966.632,4252519.291
200,380466.173,4270037.377
320,410244.49,4241074.142
160,435611.206,4338007.55
500,396458.232,4365335.764
130,347930.603,4230329.716
10,417964.795,4379116.658
90,372378.234,4299467.761
100,346092.435,4357160.657
140,336166.329,4252752.866
170,424030.749,4308343.591
180,341313.199,4259760.1
320,457301.586,4286387.591
140,334511.978,4385890.318
1790,438552.274,4223088.907
200,465573.341,4294796.272
210,401972.735,4263730.866
410,438368.457,4273073.845
130,353261.289,4304606.4
300,405649.071,4360664.274
670,416126.627,4289424.059
30,421089.68,4350386.997
70,439287.541,4333803.209
0,417413.345,4387058.19
120,379179.455,4287088.314
120,327159.307,4239672.695
110,326424.04,4346416.231
70,448110.747,4324693.805
300,416310.444,4327730.273
280,387818.844,4297132.017
60,463183.722,4330533.167
120,393884.797,4295964.144
50,342783.733,4299467.761
230,407487.239,4382153.126
90,331019.459,4350386.997
50,420170.596,4352022.019
130,457485.402,4328430.996
80,346827.702,4369072.955
830,446640.212,4287555.463
4750,325321.139,4291292.655
150,377892.738,4367905.083
340,400686.018,4302737.804
0,410795.941,4380050.956
-10000,352893.656,4240373.419
70,329548.925,4309044.315
40,381017.623,4349452.699
110,340210.298,4298533.463
180,366312.281,4225191.078
80,418332.429,4262562.994
210,437265.557,4263030.143
200,454544.334,4215380.95
290,363187.395,4218183.843
270,429729.069,4228694.695
140,382304.34,4262796.568
110,389289.378,4284986.144
90,387818.844,4308810.74
