Northing,Easthing,Elevation
3636818,379472,1005
3654018,382772,1160
3629068,375322,1105
3642418,376072,1103
3644118,402572,966
3622268,402622,1235
3665168,377072,1283
3622368,401472,1202
3630568,404872,1139
3638018,411722,1080
3645618,365522,1504
3626768,381322,1150
3634118,414072,1126
3655068,371222,1670
3639118,385372,1021
3662568,414672,864
3645868,405222,980
3621168,390922,1289
3638068,393522,1011
3636518,392922,1018
3659118,375172,1794
3641618,364472,1574
3655118,393422,1163
3637618,388222,1176
3658268,369272,1498
3664968,395972,1060
3647618,381472,1259
3630068,371872,1091
3629218,381472,1108
3655918,391922,1081
3624568,398622,1218
3632918,388822,1091
3638818,386872,1092
3635318,397572,1041
3650768,416872,955
3648118,403172,922
3626518,365072,1173
3638168,387722,1131
3642818,408122,1017
3644968,393422,968
3621218,383322,1257
3660718,378172,1315
3648318,410172,968
3650818,411872,954
3664868,406322,943
3642118,374822,1103
3662418,372122,1405
3663918,400672,1016
3625168,387872,1202
3630118,395372,1200
3638268,387272,1134
3628618,415672,1198
3661518,395772,1025
3635768,392572,1039
3635968,386072,1133
3636668,371672,1099
3641768,401772,976
3655218,382122,1177
3639218,390272,1121
3629368,364172,1127
3656868,381972,1191
3647518,399422,926
3632818,413222,1142
3656918,393022,1021
3653018,371222,1546
3634568,378872,1035
3622368,391672,1265
3638618,379172,1051
3647468,362522,1528
3634968,368222,1057
3624968,400122,1169
3647268,415022,989
3642618,410872,1036
3638818,368372,1146
3661218,373272,0
3648218,397472,912
3663818,389722,1101
3622068,413072,1294
3634268,380572,1050
3624268,387822,1192
3659368,372572,1450
3629518,379322,1109
3635818,403772,1085
3660618,416722,874
3645918,377422,1121
3638868,365922,1217
3621768,412772,1294
3620068,409772,1345
3631868,398822,1093
3654068,405072,892
3647418,404772,946
3646068,402222,950
3629268,367322,1115
3646218,389322,1070
3664018,383972,1175
3620118,386272,1272
3654218,366422,1645
3653718,376422,1392
3658768,367722,1467
3630018,381822,1101
3654268,408922,883
3630568,396722,0
3621968,411222,1335
3628768,395822,1144
3651418,417372,955
3643518,410472,1024
3623968,400572,1173
3648068,394972,955
3660168,415172,872
3661868,409022,902
3659068,413372,893
3657218,389172,1062
3656468,397122,979
3664568,379672,1221
3620968,390372,1284
3659868,396872,992
3652668,378122,1252
3634468,416072,1130
3661018,398522,985
3665418,405022,962
3637818,371572,1113
3638118,395022,1039
3622518,408422,1270
3653668,375772,1436
3664718,412622,881
3631268,395872,1190
3663418,375222,1365
3655568,402022,919
3663968,406672,929
3620868,412172,1330
3619618,397322,1287
3636568,400022,1015
3638368,387372,1112
3644068,377972,1085
3664268,387822,1110
3642118,388472,1046
3626768,373522,1166
3628918,396422,1129
3662718,394172,1135
3643868,411422,1025
3658618,405572,922
3633818,374572,1015
3646168,369222,1291
3623768,375072,1215
3630018,390422,1173
3630218,410622,1168
3640318,391472,1057
3633568,370972,1027
3665318,364922,1550
3646568,405472,958
3659268,365022,1545
3630968,414272,1144
3660318,376172,1629
3633068,391172,1081
3664018,388672,1104
3621268,375322,1268
3656518,401072,929
3645268,411872,997
3663868,380122,1232
3643918,373222,1142
3649218,361072,1599
3633418,380222,1059
3625118,414872,1255
3655668,391472,1099
3619418,409122,1359
3655218,408622,874
3625868,414172,1232
3659268,369072,1456
3621368,399872,1227
3621818,407422,1272
3665618,383472,1209
3647868,388872,1038
3643618,392672,939
3643018,407572,1012
3662918,377572,1321
3664118,411572,889
3655118,399622,940
3646168,369272,1293
3652018,408522,901
3658018,409872,864
3658068,380622,1204
3643268,398922,955
3636268,398122,1026
3657068,400722,932
3633468,369122,1066
3636218,375272,1028
3623318,401172,1209
3649068,383672,1330
3649318,382522,1242
3655768,409172,875
3644618,397122,949
3645968,362272,1571
3646168,392922,961
3624468,405222,1233
3639618,371572,1145
3641868,415572,1041
3620968,388572,1286
3659618,380972,1196
3659518,417072,896
3627418,377322,1131
3639068,404222,1039
3666068,365422,1
3656868,395872,997
3652818,400422,954
3638968,404072,1036
3660618,384222,1221
3649718,403622,898
3622668,370422,1222
3651668,376372,1265
3649068,398322,933
3620868,384122,1228
3662068,385622,1108
3650318,407822,946
3654918,402672,909
3641218,394422,974
3630018,386972,1151
3639468,384572,980
3661118,363022,1640
3623468,379922,1236
3627018,414722,1223
3654818,400022,928
3659718,374972,2035
3659868,382572,1157
3643468,362972,1671
3652718,379222,1226
3647418,381672,1347
3646018,394972,956
3641218,402372,990
3626768,410722,1216
3621568,405622,1296
3653818,384672,1119
3622168,406672,1267
3649968,371972,1314
3665318,384722,1210
3652318,414372,939
3657568,367672,1530
3651268,389522,1345
3665968,384422,1217
3635018,364822,1086
