,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
802,5001.0,0,0.3072035714285714,0.10747238647186147,0.4612426524572886,0,0,0
803,5001.5,0,0.28970785714285713,0.11332638902597403,0.49462454579315196,0,0,0
804,5002.0,0,0.2496692857142857,0.108207259978355,0.509720739028086,0,0,0
805,5002.5,0,0.1875664285714286,0.09928101686147177,0.5570966751117756,0,0,0
806,5003.0,0,0.19939,0.09300133848484841,0.6083451771246002,0,0,0
807,5003.5,0,0.2973307142857143,0.07900458850649353,0.7903282513070462,0,0,0
808,5004.0,0,0.35668642857142857,0.08385905807359306,0.7853467981505136,0,0,0
809,5004.5,0,0.33991142857142853,0.0933905633766234,0.7678579702017048,0,0,0
810,5005.0,0,0.251525,0.10673680530303022,0.6369705030541918,0,0,0
811,5005.5,0,0.24523142857142857,0.10585765307359313,0.5937544430133239,0,0,0
812,5006.0,0,0.28263142857142853,0.1017795379220779,0.631406798249071,0,0,0
813,5006.5,0,0.3301314285714286,0.09732325004329008,0.7176790064779223,0,0,0
814,5007.0,0,0.35292785714285707,0.09182631811688313,0.6677807639544543,0,0,0
815,5007.5,0,0.4014135714285715,0.0861519813203463,0.611260960006717,0,0,0
816,5008.0,0,0.42126428571428576,0.0820079504329004,0.729175905646161,0,0,0
817,5008.5,0,0.4029885714285715,0.08303788207792209,0.6952013713722317,0,0,0
818,5009.0,0,0.3722342857142857,0.08029767497835491,0.7044754650760643,0,0,0
819,5009.5,0,0.3608914285714286,0.08454768277056274,0.7147401548730743,0,0,0
820,5010.0,0,0.33592071428571424,0.09333009668831169,0.7152125919702799,0,0,0
821,5010.5,0,0.2762685714285714,0.10363066510822502,0.651029036116279,0,0,0
822,5011.0,0,0.21246214285714288,0.10830374764069256,0.6372324133483848,0,0,0
823,5011.5,0,0.19123785714285713,0.10813234629870126,0.6184290270458844,0,0,0
824,5012.0,0,0.1829507142857143,0.11124625093073594,0.6193109729368083,0,0,0
825,5012.5,0,0.17379928571428568,0.10778921119047617,0.6378094041446517,0,0,0
826,5013.0,0,0.158905,0.10747177924242425,0.6333053947004929,0,0,0
827,5013.5,0,0.14835714285714288,0.10695785930735931,0.6285225909181319,1,1,1
828,5014.0,0,0.15254642857142856,0.10560577261904754,0.6291373722760063,0,0,0
829,5014.5,0,0.1525085714285714,0.10413414147186145,0.6326150581877924,0,0,0
830,5015.0,0,0.16682285714285716,0.09785721766233765,0.6761415562064658,0,0,0
831,5015.5,0,0.16753142857142858,0.09569816519480512,0.6796373735132633,0,0,0
832,5016.0,0,0.16402285714285714,0.09194575099567093,0.7048663482362117,0,0,0
833,5016.5,0,0.16854357142857143,0.09019541738095241,0.7066870127888922,0,0,0
834,5017.0,0,0.16003571428571428,0.0901924707792207,0.7416689614300215,0,0,0
835,5017.5,0,0.17042785714285716,0.09238093932900424,0.7274850573556384,0,0,0
836,5018.0,0,0.16123785714285715,0.09538719478354972,0.7033520946853482,0,0,0
837,5018.5,0,0.1775442857142857,0.09437191528138526,0.7093372595595812,0,0,0
838,5019.0,0,0.19977857142857144,0.09363928722943718,0.7096756179767726,0,0,0
839,5019.5,0,0.23759714285714284,0.09426857809523805,0.6969212865103628,0,0,0
840,5020.0,0,0.2553207142857143,0.1006670118398268,0.6486038978994206,0,0,0
841,5020.5,0,0.2730157142857143,0.1002958325974025,0.6525302018354486,0,0,0
842,5021.0,0,0.25221214285714283,0.09905281582251084,0.6413194468825901,0,0,0
843,5021.5,0,0.23027999999999998,0.08848887393939393,0.6622546814080089,0,0,0
844,5022.0,0,0.191975,0.07839290681818176,0.6804395409825478,0,0,0
845,5022.5,0,0.17360214285714284,0.07060918461038956,0.6936959017449355,0,0,0
846,5023.0,0,0.16646714285714284,0.06695356627705619,0.6480952096189996,0,0,0
847,5023.5,0,0.1573092857142857,0.06949722725108219,0.6558134357235177,0,0,0
848,5024.0,0,0.17142785714285713,0.07675830296536787,0.722297740085824,0,0,0
849,5024.5,0,0.22679285714285713,0.0785265482683982,0.7257347116722614,0,0,0
850,5025.0,0,0.30897357142857146,0.07723854738095241,0.679586906252798,0,0,0
851,5025.5,0,0.3573857142857143,0.07832071471861474,0.7514676468211338,0,0,0
852,5026.0,0,0.3488114285714286,0.08885682701298694,0.8010266003788504,0,0,0
853,5026.5,0,0.31108142857142856,0.09863000307359304,0.7399117549870433,0,0,0
854,5027.0,0,0.26479571428571425,0.10339484290043288,0.7140257236011779,0,0,0
855,5027.5,0,0.23158142857142855,0.10777732125541124,0.6849173630715144,0,0,0
856,5028.0,0,0.21274714285714283,0.1066499553679653,0.6901085765254665,0,0,0
857,5028.5,0,0.2354935714285714,0.108703927987013,0.672871736794502,0,0,0
858,5029.0,0,0.253575,0.1079936583333333,0.6841086190145937,0,0,0
859,5029.5,0,0.2789457142857143,0.1091252201731602,0.6757258159052142,0,0,0
860,5030.0,0,0.2746321428571429,0.1054544903679653,0.7014679825087151,0,0,0
861,5030.5,0,0.310795,0.09805667833333334,0.754315940847073,0,0,0
862,5031.0,0,0.34766071428571427,0.08968225487012985,0.8060472605638669,0,0,0
863,5031.5,0,0.46592000000000006,0.07741926545454544,0.8810866904252821,0,0,0
864,5032.0,0,0.5031128571428571,0.07950918341991339,0.7320372397587297,0,0,0
865,5032.5,0,0.49738,0.0835825496969697,0.8003684491959404,0,0,0
866,5033.0,0,0.38337428571428567,0.09570462709956712,0.808708846635954,0,0,0
867,5033.5,0,0.3635092857142857,0.09686688179653677,0.7872552454369313,0,0,0
868,5034.0,0,0.3727864285714286,0.10001021867965372,0.717954768674585,0,0,0
869,5034.5,0,0.3880985714285714,0.09832452844155837,0.7117978613691269,0,0,0
870,5035.0,0,0.3519357142857143,0.10093597683982677,0.7154754534654466,0,0,0
871,5035.5,0,0.3271228571428571,0.09415724493506485,0.7326176231193704,0,0,0
872,5036.0,0,0.35371714285714284,0.09063119506493503,0.7744626759197301,0,0,0
873,5036.5,0,0.44401357142857145,0.07938433889610386,0.9428403330030414,0,0,0
874,5037.0,0,0.5469242857142858,0.06439282861471862,1.0,0,0,0
875,5037.5,0,0.6163235714285715,0.06096012465367964,0.968142482790638,0,0,0
876,5038.0,0,0.5810242857142858,0.0726516861904762,1.0,0,0,0
877,5038.5,0,0.5213599999999999,0.0896172145454546,0.887509459450086,0,0,0
878,5039.0,0,0.4668557142857143,0.0967975756277056,0.7634809981082512,0,0,0
879,5039.5,0,0.460075,0.08968364318181819,0.7400089032213673,0,0,0
880,5040.0,0,0.42250071428571423,0.08948378577922071,0.715846021090988,0,0,0
881,5040.5,0,0.39984571428571425,0.09090166562770566,0.7002999830564863,0,0,0
882,5041.0,0,0.3813364285714286,0.09576311716450212,0.7373707372378718,0,0,0
883,5041.5,0,0.4062685714285714,0.08935005904761904,0.7700471181373918,0,0,0
884,5042.0,0,0.4416,0.0826595393939393,0.7350852955443279,0,0,0
885,5042.5,0,0.4466414285714285,0.07916153883116883,0.8159687287479414,0,0,0
886,5043.0,0,0.46698285714285714,0.07380492917748913,0.9034031820629,0,0,0
887,5043.5,0,0.45563999999999993,0.07816099757575759,0.7446387742663851,0,0,0
888,5044.0,0,0.4623264285714286,0.08170035867965367,0.7613943387471094,0,0,0
889,5044.5,0,0.40783642857142854,0.09003067777056284,0.6851464059224875,0,0,0
890,5045.0,0,0.3160435714285714,0.09602246283549778,0.6586974004121168,0,0,0
891,5045.5,0,0.25043499999999996,0.10671167590909086,0.5512863987985941,0,0,0
892,5046.0,0,0.2058164285714286,0.11307206989177489,0.5231082307834523,0,0,0
893,5046.5,0,0.20129571428571427,0.11672846411255403,0.44927696908288195,0,0,0
894,5047.0,0,0.188535,0.11476029106060599,0.42133949379531244,0,0,0
895,5047.5,0,0.1972364285714286,0.11495425958874458,0.4922163370293183,0,0,0
896,5048.0,0,0.24959428571428569,0.10775634406926406,0.5653540597362889,0,0,0
897,5048.5,0,0.3006392857142857,0.09950607543290035,0.6414940795030586,0,0,0
898,5049.0,0,0.35222499999999995,0.09092565681818178,0.7337125507723976,0,0,0
899,5049.5,0,0.4173957142857143,0.085193261082251,0.8305411950233739,0,0,0
900,5050.0,0,0.42094071428571433,0.08372049244588745,0.8188035831680595,0,0,0
901,5050.5,0,0.4198314285714285,0.08677776822510824,0.7794445854878445,0,0,0
